Karambit | Frostbite 139.000 Dorado  https://bloxstrike.net/items/bloxstrike-live/79761341183165.png
Butterfly | Midnight 3.000 Dorado https://bloxstrike.net/items/bloxstrike-live/82497240178553.png
Butterfly | Whiteout 2.970 Dorado https://bloxstrike.net/items/bloxstrike-live/139796292927038.png
Skeleton | Whiteout 2.960 Dorado https://bloxstrike.net/items/bloxstrike-live/73687896541270.png
Bayonet | Midnight 2.890 Dorado https://bloxstrike.net/items/bloxstrike-live/134444035831656.png
Butterfly | Safari 2.880 Dorado https://bloxstrike.net/items/bloxstrike-live/135033903539257.png
Bayonet | Safari 2.840 Dorado https://bloxstrike.net/items/bloxstrike-live/85604205934442.png
Driver Gloves | Cardinal 2.820 Dorado https://bloxstrike.net/items/bloxstrike-live/90697963761030.png
Skeleton | Naval 2.800 Dorado https://bloxstrike.net/items/bloxstrike-live/117336493532955.png
Gut | Scarlet 2.800 Dorado https://bloxstrike.net/items/bloxstrike-live/106791821145854.png
Stiletto | Doodle 2,740 Dorado https://bloxstrike.net/items/bloxstrike-live/80165507327550.png
Flip | Blackwidow 2.720 Dorado https://bloxstrike.net/items/bloxstrike-live/111788837058048.png
Stiletto | Damascus 2.700 Dorado https://bloxstrike.net/items/bloxstrike-live/127468787069985.png
Hand Wraps | Crime Scene 2.700 Dorado https://bloxstrike.net/items/bloxstrike-live/103301070341086.png
Operator Gloves | Agent 2.660 Dorado https://bloxstrike.net/items/bloxstrike-live/72181517504912.png
Skeleton | Violet 2.650 Dorado https://bloxstrike.net/items/bloxstrike-live/122826325708875.png
Driver Gloves | Leopard 2.650 Dorado https://bloxstrike.net/items/bloxstrike-live/133362686135410.png
Stiletto | Woodland 2.630 Dorado https://bloxstrike.net/items/bloxstrike-live/128823555948958.png
Flip | Vanilla 2.550 Dorado https://bloxstrike.net/items/bloxstrike-live/115788195540060.png
Gut | Damascus 2.510 Dorado https://bloxstrike.net/items/bloxstrike-live/101745563237771.png
Skeleton | Safari 2.500 Dorado https://bloxstrike.net/items/bloxstrike-live/88859869862052.png
Operator Gloves | Amber Fade 2.480 Dorado https://bloxstrike.net/items/bloxstrike-live/91028038958284.png
Stiletto | Midnight 2.400 Dorado https://bloxstrike.net/items/bloxstrike-live/70369357875598.png
Skeleton | Midnight 2.330 Dorado https://bloxstrike.net/items/bloxstrike-live/122095354596020.png
Sports Gloves | Dune 2.320 Dorado https://bloxstrike.net/items/bloxstrike-live/99569571925114.png
Flip | Doodle 2.290 Dorado https://bloxstrike.net/items/bloxstrike-live/86327515769889.png
Flip | Rusted 2.290 Dorado https://bloxstrike.net/items/bloxstrike-live/127398374106324.png
Package | AUG | Anodized Red 2.260 Rojo https://bloxstrike.net/items/bloxstrike-live/80921195030451.png
Driver Gloves | Cardinal Weave 2.250 Dorado https://bloxstrike.net/items/bloxstrike-live/101623638654811.png
Flip | Naval 2.250 Dorado https://bloxstrike.net/items/bloxstrike-live/107121758345982.png
Flip | Midnight 2.230 Dorado https://bloxstrike.net/items/bloxstrike-live/96364895911319.png
Flip | Whiteout 2.210 Dorado https://bloxstrike.net/items/bloxstrike-live/125533978118469.png
Bayonet | Woodland 2.200 Dorado https://bloxstrike.net/items/bloxstrike-live/112899170359698.png
Stiletto | Rusted 2.200 Dorado https://bloxstrike.net/items/bloxstrike-live/122991082916872.png
Driver Gloves | Tuxedo 2.160 Dorado  https://bloxstrike.net/items/bloxstrike-live/131023745601676.png
Flip | Woodland 2.130 Dorado  https://bloxstrike.net/items/bloxstrike-live/79355399305691.png
Sports Gloves | Hunter 2.040 Dorado  https://bloxstrike.net/items/bloxstrike-live/125152079647129.png
Gut | Vanilla 2.040 Dorado https://bloxstrike.net/items/bloxstrike-live/74506801768392.png
Flip | Safari 2.040 Dorado  https://bloxstrike.net/items/bloxstrike-live/97682388773446.png
Package | Desert Eagle | High Octane 2000 Rojo https://bloxstrike.net/items/bloxstrike-live/116837871910630.png
Skeleton | Woodland 2000 Dorado  https://bloxstrike.net/items/bloxstrike-live/74055280257361.png
Flip | Violet 2.000 Dorado https://bloxstrike.net/items/bloxstrike-live/110253575097439.png
AWP | Metamorphosis 1.990 Rojo https://bloxstrike.net/items/bloxstrike-live/117963786318378.png
Driver Gloves | Nomad 1.970 Dorado https://bloxstrike.net/items/bloxstrike-live/74064691716201.png
Gut | Doodle 1.890 Dorado https://bloxstrike.net/items/bloxstrike-live/122235395836024.png
Package | AWP | High Octane 1.850 Rojo  https://bloxstrike.net/items/bloxstrike-live/125260742023537.png
Gut | Blackwidow 1.840 Dorado https://bloxstrike.net/items/bloxstrike-live/136907689255627.png
Gut | Violet 1.820 Dorado https://bloxstrike.net/items/bloxstrike-live/127558628138118.png
Driver Gloves | Gator 1.820 Dorado https://bloxstrike.net/items/bloxstrike-live/100906379437261.png
Gut | Whiteout 1.790 Dorado  https://bloxstrike.net/items/bloxstrike-live/72559787453342.png
Gut | Naval 1.750 Dorado https://bloxstrike.net/items/bloxstrike-live/140460587804154.png
Driver Gloves | Tartan 1.740 Dorado https://bloxstrike.net/items/bloxstrike-live/87090405850366.png
Hand Wraps | Snakeskin 1.670 Dorado https://bloxstrike.net/items/bloxstrike-live/110189976157643.png
Gut | Midnight 1.650 Dorado  https://bloxstrike.net/items/bloxstrike-live/131381753965014.png
Operator Gloves | Hunter 1.640 Dorado https://bloxstrike.net/items/bloxstrike-live/81779093546713.png
Driver Gloves | Midnight Weave 1.640 Dorado https://bloxstrike.net/items/bloxstrike-live/79682883857169.png
Hand Wraps | Taped 1.620 Dorado https://bloxstrike.net/items/bloxstrike-live/128091165481921.png
Gut | Safari 1.590 Dorado  https://bloxstrike.net/items/bloxstrike-live/122026707214371.png
Hand Wraps | Camouflage 1.550 Dorado https://bloxstrike.net/items/bloxstrike-live/80289047803085.png
Hand Wraps | Checkers 1.520 Dorado https://bloxstrike.net/items/bloxstrike-live/70918561887392.png
Gut | Rusted 1.490 Dorado  https://bloxstrike.net/items/bloxstrike-live/85270959203020.png
Package | MP-9 | Anodized Red 1.440 Rojo https://bloxstrike.net/items/bloxstrike-live/94406276254599.png
Gut | Woodland 1.400 Dorado  https://bloxstrike.net/items/bloxstrike-live/79124912599935.png
Hand Wraps | Hunter 1.360 Dorado https://bloxstrike.net/items/bloxstrike-live/121877212650460.png
Hand Wraps | Carpet 1.320 Dorado https://bloxstrike.net/items/bloxstrike-live/116465088725763.png
M4A1-S | Anodized Red 1.100 Rojo https://bloxstrike.net/items/bloxstrike-live/87908365282079.png
Package | MP9 | High Octane 1.040 Rojo https://bloxstrike.net/items/bloxstrike-live/115824013489426.png
Package | AK-47 | Midas 1.010 Rojo https://bloxstrike.net/items/bloxstrike-live/75177355895881.png
Package | Tec-9 | Medal.tv 1.000 Rojo https://bloxstrike.net/items/bloxstrike-live/71231444746781.png
Flip | Noir 22.000 Rojo https://bloxstrike.net/items/bloxstrike-live/84089827338039.png
Package | AWP | Tekko 960 Rojo https://bloxstrike.net/items/bloxstrike-live/120743455064046.png
AWP | High Octane 953 Rojo https://bloxstrike.net/items/bloxstrike-live/136112070369501.png
Package | M4A4 | Tekko 811 Rojo https://bloxstrike.net/items/bloxstrike-live/91269532200879.png
Glock-18 | Aurora 758 Rojo  https://bloxstrike.net/items/bloxstrike-live/119347012284483.png
Package | USP-S | Tekko 729 Rojo https://bloxstrike.net/items/bloxstrike-live/131381283338953.png
Package | AK-47 | PinPoint 726 Rojo https://bloxstrike.net/items/bloxstrike-live/113325057646529.png
Desert Eagle | High Octane 631 Rojo https://bloxstrike.net/items/bloxstrike-live/94846790071504.png
AK-47 | Sakura 505 Rojo https://bloxstrike.net/items/bloxstrike-live/118393450198241.png
AWP | Tekko 487 Rojo https://bloxstrike.net/items/bloxstrike-live/122798764244612.png
AK-47 | Luminex 473 Rojo https://bloxstrike.net/items/bloxstrike-live/91575659979849.png
AWP | Overdrive 427 Rojo https://bloxstrike.net/items/bloxstrike-live/103061547931238.png
AK-47 | PinPoint 420 Rojo  https://bloxstrike.net/items/bloxstrike-live/78237429638206.png
AK-47 | Midas 416 Rojo  https://bloxstrike.net/items/bloxstrike-live/126943923949394.png 
M4A1-S | SuperSoaked 409 Rojo https://bloxstrike.net/items/bloxstrike-live/108863433712503.png
MP9 | Anodized Red 400 Rojo https://bloxstrike.net/items/bloxstrike-live/100809950300989.png
AUG | Anodized Red 376 Rojo  https://bloxstrike.net/items/bloxstrike-live/84350880711844.png
M4A4 | Tekko 376 Rojo  https://bloxstrike.net/items/bloxstrike-live/135220557479517.png
Package | Glock-18 | Midas 351 Rojo https://bloxstrike.net/items/bloxstrike-live/126726654780672.png
USP-S | Tekko 350 Rojo  https://bloxstrike.net/items/bloxstrike-live/136544769697340.png
Package | P90 | PinPoint 343 Rojo https://bloxstrike.net/items/bloxstrike-live/107098462562379.png
FAMAS | Heirloom 337 Rojo https://bloxstrike.net/items/bloxstrike-live/81459830277649.png
Package | Glock-18 | PinPoint 332 Rojo  https://bloxstrike.net/items/bloxstrike-live/123337456221339.png
AWP | Bird Hunt 304 Rojo https://bloxstrike.net/items/bloxstrike-live/91355488643704.png
MP9 | High Octane 303 Rojo https://bloxstrike.net/items/bloxstrike-live/99133552349769.png
USP-S | SuperSoaked 285 Rojo https://bloxstrike.net/items/bloxstrike-live/111928584115671.png
M4A1-S | Phaseprint 320 Rojo  https://bloxstrike.net/items/bloxstrike-live/76878278285757.png
Package | MAC-10 | Midas 247 Rojo https://bloxstrike.net/items/bloxstrike-live/87600573919459.png
M4A1-S | Retro 206 Rojo  https://bloxstrike.net/items/bloxstrike-live/127638017774749.png
Sawed-Off | SuperSoaked 147 Rojo  https://bloxstrike.net/items/bloxstrike-live/92355344149162.png
M4A1-S | Orchids 141 Rojo  https://bloxstrike.net/items/bloxstrike-live/118636080343193.png
Glock-18 | PinPoint 120 Rojo  https://bloxstrike.net/items/bloxstrike-live/120890001687679.png
M4A4 | B-Hop 106 Rojo https://bloxstrike.net/items/bloxstrike-live/112285612049344.png
P90 | PinPoint 101 Rojo  https://bloxstrike.net/items/bloxstrike-live/105293566332593.png
MP9 | X-Ray 100 Rosa  https://bloxstrike.net/items/bloxstrike-live/128454411389675.png
Desert Eagle | Permafrost 85 Morada https://bloxstrike.net/items/bloxstrike-live/119477576365240.png
FAMAS | Mind 71 Roja https://bloxstrike.net/items/bloxstrike-live/73737345526334.png
M4A4 | BubblePop 67 Rosa  https://bloxstrike.net/items/bloxstrike-live/132505793750527.png
Galil AR | Irid 65 Roja  https://bloxstrike.net/items/bloxstrike-live/131127067601241.png
P90 | Chromatic 56 Roja https://bloxstrike.net/items/bloxstrike-live/97233491835732.png
SSG 08 | Onyx 51 Roja https://bloxstrike.net/items/bloxstrike-live/81009006872507.png
Tec-9 | Medal.tv 51 Roja https://bloxstrike.net/items/bloxstrike-live/129652986787950.png
Glock-18 | Midas 50 Roja https://bloxstrike.net/items/bloxstrike-live/75696586761696.png
AWP | Railgun 48 Rosa https://bloxstrike.net/items/bloxstrike-live/124999883032205.png
SSG 08 | Mindspill 48 Roja  https://bloxstrike.net/items/bloxstrike-live/76518146707378.png
Case | Finishline Case 47 roja https://bloxstrike.net/items/bloxstrike-live/114958333422119.png
Case | Lionheart 47 Roja  https://bloxstrike.net/items/bloxstrike-live/73482740280871.png
AWP | Typhon 40 Pink  https://bloxstrike.net/items/bloxstrike-live/136191452368563.png
Case | Glove Case 2 46 Roja  https://bloxstrike.net/items/bloxstrike-live/75374128985311.png
Case | Glove Case 45 Roja https://bloxstrike.net/items/bloxstrike-live/123594181073716.png
USP-S | Ajax 45 rosa https://bloxstrike.net/items/bloxstrike-live/128789343995926.png
M4A4 | Ignition 43 Rosa https://bloxstrike.net/items/bloxstrike-live/72363970187101.png
Case | Case #1 42 Roja https://bloxstrike.net/items/bloxstrike-live/103053431273169.png
Case | Chrysalis 42 Roja  https://bloxstrike.net/items/bloxstrike-live/134467311250667.png
P90 | DRFT 42 Roja  https://bloxstrike.net/items/bloxstrike-live/129912585396630.png
Desert Eagle | Mercy 37 Rosa https://bloxstrike.net/items/bloxstrike-live/88607588222034.png
Glock-18 | Fade 37 rosa https://bloxstrike.net/items/bloxstrike-live/102311740531470.png
M4A1-S | Castroil 180 rosa https://bloxstrike.net/items/bloxstrike-live/106466951136790.png
MAC-10 | Midas 35 Roja https://bloxstrike.net/items/bloxstrike-live/100609608112786.png
AK-47 | Aniki 30 Morada  https://bloxstrike.net/items/bloxstrike-live/83000635050744.png
Desert Eagle | Racer8 27 Rosa  https://bloxstrike.net/items/bloxstrike-live/116218659152633.png
Dual Berettas | Choking Hazard 24 Morada  https://bloxstrike.net/items/bloxstrike-live/107389695920030.png
M4A4 | Wrapped 21 Azul  https://bloxstrike.net/items/bloxstrike-live/125643348750553.png
Five-SeveN | Mk II 18 Rosa  https://bloxstrike.net/items/bloxstrike-live/93484299380499.png
Galil AR | Monochrome 18 rosa https://bloxstrike.net/items/bloxstrike-live/130738743524733.png
SSG 08 | Racer8 18 rosa  https://bloxstrike.net/items/bloxstrike-live/72651128554373.png
Desert Eagle | Circuit 16 rosa https://bloxstrike.net/items/bloxstrike-live/96711237869835.png
Dual Berettas | Inked 11 Rosa  https://bloxstrike.net/items/bloxstrike-live/100406553018004.png
Five-SeveN | X-Ray 10 Rosa  https://bloxstrike.net/items/bloxstrike-live/117920971198120.png
Glock-18 | Fuji 15 Rosa https://bloxstrike.net/items/bloxstrike-live/129437922121163.png
SG 553 | Dynasty 8 Rosa https://bloxstrike.net/items/bloxstrike-live/104894297920788.png
SG 553 | Frostline 8 Azul https://bloxstrike.net/items/bloxstrike-live/107041781535861.png
Five-SeveN | Icecap 7 Azul https://bloxstrike.net/items/bloxstrike-live/136238530759469.png
MP9 | Choke Oil 7 Rosa  https://bloxstrike.net/items/bloxstrike-live/112442261177271.png
P250 | Mindspill 7 Rosa  https://bloxstrike.net/items/bloxstrike-live/120468688778662.png
P90 | Synthwave 7 Rosa https://bloxstrike.net/items/bloxstrike-live/137570525227698.png
Sawed-Off | Improvised 7 rosa https://bloxstrike.net/items/bloxstrike-live/119038154277165.png
XM1014 | Office 7 Rosa https://bloxstrike.net/items/bloxstrike-live/137653438110642.png
Zeus x27 | Overcharge 7 Rosa https://bloxstrike.net/items/bloxstrike-live/74777043312975.png
Dual Berettas | Gilded 4 Morada  https://bloxstrike.net/items/bloxstrike-live/128596252710922.png
P250 | Glacial 4 Azul  https://bloxstrike.net/items/bloxstrike-live/116484949047326.png
Zeus x27 | BitFyre 3 Morada  https://bloxstrike.net/items/bloxstrike-live/99110361398481.png
Desert Eagle | Paranoia 2 Morada  https://bloxstrike.net/items/bloxstrike-live/80741450678165.png
Five-SeveN | Control 2 Morada  https://bloxstrike.net/items/bloxstrike-live/134074624196032.png
AK-47 | Red Baron 1 Azul https://bloxstrike.net/items/bloxstrike-live/101540917675426.png
AUG | Hot Rod 1 Morada  https://bloxstrike.net/items/bloxstrike-live/111356995885809.png
AUG | Overgrowth 1 Azul  https://bloxstrike.net/items/bloxstrike-live/140091348241279.png
AUG | Predator 1 Azul https://bloxstrike.net/items/bloxstrike-live/137513500264636.png
AUG | Tension 1 Morada https://bloxstrike.net/items/bloxstrike-live/115462193206399.png
Desert Eagle | Spectrum 1 Azul  https://bloxstrike.net/items/bloxstrike-live/115909642433750.png
Desert Eagle | Turbo 1 Azul  https://bloxstrike.net/items/bloxstrike-live/138525436277720.png
Desert Eagle | Velocity 1 Morada  https://bloxstrike.net/items/bloxstrike-live/99871777586907.png
Dual Berettas | Overclock 1 Morada  https://bloxstrike.net/items/bloxstrike-live/122112952414992.png
Dual Berettas | Tension 1 Morada  https://bloxstrike.net/items/bloxstrike-live/114332654530188.png
Dual Berettas | Vernal 1 morada  https://bloxstrike.net/items/bloxstrike-live/74510397280714.png
FAMAS | Arctic Camo 1 Azul  https://bloxstrike.net/items/bloxstrike-live/90069607553613.png
FAMAS | Medic 1 Morada  https://bloxstrike.net/items/bloxstrike-live/93020935624507.png
FAMAS | Wallpaper 1 Azul https://bloxstrike.net/items/bloxstrike-live/120439847405332.png
Galil AR | Feral 1 azul  https://bloxstrike.net/items/bloxstrike-live/100237896129409.png
Galil AR | Irradiated 1 Azul  https://bloxstrike.net/items/bloxstrike-live/106417126259183.png
Galil AR | Limewire 1 Azul  https://bloxstrike.net/items/bloxstrike-live/77282765150348.png
Glock-18 | Broken Tv 1 Azul  https://bloxstrike.net/items/bloxstrike-live/139806341142620.png
M4A1-S | BlackOps 1 Azul https://bloxstrike.net/items/bloxstrike-live/95735308676498.png
MAC-10 | Daisies  1 Morada  https://bloxstrike.net/items/bloxstrike-live/96061304037175.png
MAC-10 | Ivory 1 Morada https://bloxstrike.net/items/bloxstrike-live/72375282773597.png 
MAC-10 | Nailgun 1 morada https://bloxstrike.net/items/bloxstrike-live/98375349370592.png
MAC-10 | NGRAM 1 morada  https://bloxstrike.net/items/bloxstrike-live/125861412921368.png
MAG-7 | Vision7 1 Azul  https://bloxstrike.net/items/bloxstrike-live/84172197270302.png
MP9 | Canyon 1 Azul  https://bloxstrike.net/items/bloxstrike-live/99598867872286.png
MP9 | Classified 1 Azul https://bloxstrike.net/items/bloxstrike-live/75959435584717.png
MP9 | Graffiti 1 Morada https://bloxstrike.net/items/bloxstrike-live/115242436485830.png
MP9 | Paranoia 1 Morada  https://bloxstrike.net/items/bloxstrike-live/97054421713962.png
Negev | Noctiflora 1 Azul  https://bloxstrike.net/items/bloxstrike-live/83754236144122.png
Negev | Rotary Power 1 Azul https://bloxstrike.net/items/bloxstrike-live/127898945501092.png
Negev | The Jungle 1 Azul  https://bloxstrike.net/items/bloxstrike-live/111796127103879.png
Nova | Flutter 1 Azul https://bloxstrike.net/items/bloxstrike-live/126400338463515.png
Nova | Half+One 1 Azul https://bloxstrike.net/items/bloxstrike-live/70430062045206.png
Nova | Heat 1 Azul https://bloxstrike.net/items/bloxstrike-live/113698208856050.png
Nova | Slime 1 Azul https://bloxstrike.net/items/bloxstrike-live/132890619125059.png
P250 | B-250 1 Morada  https://bloxstrike.net/items/bloxstrike-live/85086661556319.png
P250 | Frutiger Aero 1 Azul https://bloxstrike.net/items/bloxstrike-live/77073254515432.png
P250 | Pulse 1 Morada  https://bloxstrike.net/items/bloxstrike-live/108106875379899.png
P250 | Zen 1 Morada https://bloxstrike.net/items/bloxstrike-live/126784518790646.png
P90 | Big Cat 1 Azul https://bloxstrike.net/items/bloxstrike-live/91697533492652.png
P90 | Database 1 Azul https://bloxstrike.net/items/bloxstrike-live/119190324464014.png
R8 Revolver | Bloody8 1 Azul https://bloxstrike.net/items/bloxstrike-live/107191191045067.png
R8 Revolver | Warui 1 Azul https://bloxstrike.net/items/bloxstrike-live/86336064116706.png
Sawed-Off | Panthera 1 Morada https://bloxstrike.net/items/bloxstrike-live/118932565285228.png
SG 553 | Cryo 1 Morada https://bloxstrike.net/items/bloxstrike-live/90539545081878.png
SSG 08 | Desert Strike 1 Azul https://bloxstrike.net/items/bloxstrike-live/74118799794382.png
SSG 08 | Labyrinth 1 Morada   https://bloxstrike.net/items/bloxstrike-live/103089015904236.png
Tec-9 | Monarch 1 Azul https://bloxstrike.net/items/bloxstrike-live/138177756309876.png
Tec-9 | Striker 1 Morada https://bloxstrike.net/items/bloxstrike-live/136793807710225.png
Tec-9 | Timeless 1 Morada https://bloxstrike.net/items/bloxstrike-live/84194710883435.png
Tec-9 | Trajectory 1 Azul https://bloxstrike.net/items/bloxstrike-live/139338962898457.png
Tec-9 | Vice 1 Morada  https://bloxstrike.net/items/bloxstrike-live/93271507640385.png
USP-S | Heated 1 Azul  https://bloxstrike.net/items/bloxstrike-live/109389222580238.png
USP-S | SpecOps 1 Azul  https://bloxstrike.net/items/bloxstrike-live/118258124480427.png
XM1014 | Abstract 1 Morada https://bloxstrike.net/items/bloxstrike-live/97869926504409.png
